"가로수길명",가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
"대남대로",35.148186,126.888792,35.138244,126.921623,느티나무,752,7940,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 대남대로,광역시도,남광주고가-서부재활용백화점,062-607-3822,광주광역시 남구청,2020-12-18
"독립로",35.133161,126.901431,35.148909,126.903347,플라타나스+이팝나무+은행나무,318,3440,,"플라타나스 조성, 여름철 푸르름을 느낄수 있음",광주광역시 남구 독립로,광역시도,백운교차로-월산교차로,062-607-3822,광주광역시 남구청,2020-12-18
"중앙로",37.504147,126.956954,35.145965,126.899653,은행나무,245,2660,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 중앙로,광역시도,중앙대교-무진중사거리,062-607-3822,광주광역시 남구청,2020-12-18
"서문로",35.133161,126.901431,35.084381,126.869495,은행나무+느티나무+이팝나무+배롱나무,1498,14100,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 서문로,광역시도,백운교차로-포충사입구교차로,062-607-3822,광주광역시 남구청,2020-12-18
"경열로",35.151428,126.894338,35.152471,126.897509,왕벚나무+은행나무,26,307,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 경열로,광역시도,경열로76번길~구성로,062-607-3822,광주광역시 남구청,2020-12-18
"월산로",35.138466,126.901353,35.151832,126.895863,은행나무+메타세콰이어,377,3708,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 월산로,광역시도,백운초-돌고개역,062-607-3822,광주광역시 남구청,2020-12-18
"회재로",35.137101,126.901378,35.064359,126.835818,은행나무+이팝나무+무궁화,996,9900,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 회재로,광역시도,제일병원-원광대병원사거리서창-남평간도로,062-607-3822,광주광역시 남구청,2020-12-18
"금화로",35.139354,126.883461,35.148853,126.890764,은행나무,220,2280,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 금화로,광역시도,짚봉터널-농성초등학교,062-607-3822,광주광역시 남구청,2020-12-18
"군분로",35.134258,126.896523,35.147139,126.887466,은행나무+메타세콰이어+플라타너스,227,4040,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 군분로,광역시도,무등시장-벧엘교회,062-607-3822,광주광역시 남구청,2020-12-18
"금당로",35.129712,126.895043,35.123162,126.895959,은행나무,115,1650,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 금당로,광역시도,삼육초등학교-대덕아파트,062-607-3822,광주광역시 남구청,2020-12-18
"도동길",35.099151,126.887014,35.089932,126.884957,느티나무+왕벚나무,364,3020,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 도동길,광역시도,임암교차로-위생매립장,062-607-3822,광주광역시 남구청,2020-12-18
"화산로",35.112941,126.898041,35.115175,126.908911,은행나무+소나무+느티나무+청단풍,234,3000,,"은행나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 화산로,광역시도,효덕초등학교-원제마을,062-607-3822,광주광역시 남구청,2020-12-18
"진제길",35.112699,126.901761,35.115602,126.902268,느티나무,66,806,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 진제길,광역시도,남광주농협효덕지점-진제초,062-607-3822,광주광역시 남구청,2020-12-18
"효덕로",35.111049,126.896116,35.098611,126.905911,느티나무,361,3660,,"느티나무 조성, 아름다운 단풍을 느낄수 있음",광주광역시 남구 효덕로,광역시도,효덕지하차도-노대마을,062-607-3822,광주광역시 남구청,2020-12-18
